topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
0.0137292725603,0.0137268688372,0.013727409868,0.903899610167,0.0137274233438,0.013728102992,0.013732259155,0.0137290530771
0.0133269868733,0.0133290618816,0.0133266959142,0.906706470868,0.0133263374801,0.0133282019516,0.0133276326634,0.0133286123676
0.0135542349664,0.0135537589732,0.0135540114698,0.905113572759,0.0135556928827,0.0135538845531,0.0135554295657,0.0135594148301
0.0138558599601,0.0138524223848,0.0138559932712,0.903024149632,0.0138549316309,0.0138500021613,0.0138556878413,0.0138509531183
0.013062748338,0.0130641773306,0.0130619725816,0.908554995482,0.0130617797778,0.0130634011652,0.0130669141056,0.0130640112195
0.0137216296467,0.013723263439,0.0137226258249,0.903935956231,0.0137218916564,0.0137228724008,0.0137261383183,0.0137256224827
0.013720799249,0.0137219947667,0.0137217678765,0.90394356241,0.0137206948334,0.0137219982794,0.0137249079775,0.0137242746076
0.0136727888467,0.0136836147815,0.0136738324697,0.904274198811,0.0136746178026,0.0136746217718,0.0136746962438,0.0136716292728
0.0135057032662,0.0135063271526,0.0135077115781,0.905450762906,0.0135051877568,0.0135096722481,0.013509598591,0.0135050365012
0.0126085526394,0.0126111370631,0.0126064257551,0.911741497848,0.0126073882654,0.0126076501547,0.0126093936768,0.012607954597
0.0132248117463,0.0132414504587,0.0132289191476,0.907390670619,0.0132299045893,0.0132276666494,0.0132285637985,0.0132280129912
0.0135581188108,0.0135610570535,0.0135548431467,0.905097775101,0.0135558233454,0.0135578485928,0.0135584746181,0.0135560593317
0.0138961585701,0.0138981623732,0.0138962167187,0.902718932904,0.0138957932848,0.01389741777,0.0138977411937,0.0138995771854
0.0135062922838,0.0135037382756,0.0135047898624,0.905464034276,0.0135036869547,0.0135094761066,0.0135041109258,0.0135038713151
0.0138389062096,0.013840463787,0.0138411292103,0.903112941588,0.0138390175226,0.013840017856,0.0138452816271,0.0138422421997
0.0121815489631,0.0121831464742,0.0121821906189,0.914722536414,0.0121816680778,0.0121819153656,0.012183414033,0.0121835800534
0.0123655576245,0.0123664595329,0.0123658457921,0.913438584847,0.0123653550036,0.0123656693465,0.0123654156171,0.0123671122365
0.0136077131073,0.0136102368488,0.0136086507724,0.904737539247,0.0136069486222,0.0136085561099,0.0136114870533,0.0136088682387
0.0136705240354,0.0136760494606,0.0136699069689,0.904296548094,0.0136671761285,0.0136696146695,0.01367918352,0.0136709971232
0.0115783859607,0.011587282961,0.0115809853059,0.918933031347,0.0115819096641,0.01157966701,0.0115787572423,0.0115799805095
0.0122740284049,0.0122754264542,0.0122752053548,0.914074951373,0.0122742423996,0.0122740235132,0.0122761871569,0.0122759353431
0.0136669991194,0.0136721961763,0.0136692140508,0.904307998943,0.0136729835404,0.0136694181276,0.0136715678104,0.013669622232
0.0137836906675,0.0137830547608,0.0137832460958,0.903506515369,0.0137845292692,0.0137837211853,0.0137843656575,0.0137908769951
0.0137792625169,0.0137812796821,0.0137807297634,0.903534275133,0.0137794187496,0.013779954043,0.013783073783,0.0137820063286
0.0135542138389,0.0135564867203,0.0135514482341,0.905121828778,0.013552563708,0.0135556733096,0.0135528507295,0.0135549346812
0.0137797365246,0.0137814096975,0.0137807684906,0.903528999363,0.0137800149886,0.0137810115054,0.0137842869504,0.0137837724797
0.0136633640395,0.0136663711225,0.0136637573981,0.904347198887,0.0136628556434,0.0136651527409,0.0136659917551,0.0136653084139
0.0132794459226,0.0132812137102,0.0132804302199,0.907035683006,0.013281777067,0.0132794477699,0.0132814648484,0.0132805374563
0.0136733875394,0.0136765958302,0.013671085983,0.904279900365,0.0136733759928,0.0136776327164,0.013673055423,0.0136749661506
0.0134963173903,0.0135069226849,0.0134974148308,0.90550787298,0.0134976356739,0.0134985155629,0.0134967263672,0.0134985945104
0.0129086952959,0.0129099664218,0.0129092170673,0.909632538317,0.0129079777117,0.0129094072865,0.0129129086578,0.0129092892423
0.0137258206712,0.0137288623098,0.0137255457326,0.903910673171,0.0137274982996,0.0137274605937,0.0137267860567,0.0137273531655
0.0138376375328,0.0138403432201,0.0138372722059,0.903130016187,0.0138367014575,0.01383951382,0.0138384780034,0.0138400375736
0.0133915292063,0.0133915604486,0.0133882868647,0.906272302205,0.0133867843624,0.013389988508,0.0133895980007,0.0133899504039
0.0116171896713,0.0116173258156,0.0116160203333,0.918682389359,0.0116157703066,0.0116168864934,0.0116173984543,0.0116170195667
0.0136692225662,0.0136773193535,0.013673481008,0.904281295818,0.0136795812818,0.0136721588588,0.0136737563395,0.0136731847747
0.0126101071935,0.0126127630497,0.012608425575,0.911731339615,0.0126063877718,0.0126089414969,0.0126119334543,0.0126101018433
0.0133874213185,0.0133886813225,0.0133862958105,0.90628074101,0.0133870206888,0.0133881581905,0.0133933509539,0.0133883307057
0.0136165182627,0.904679779305,0.013613520569,0.0136269563932,0.0136141031221,0.01361674804,0.0136170978429,0.0136152764653
0.0125116951732,0.0125110500851,0.0125115000697,0.91241083937,0.0125124698656,0.012511330689,0.0125137997479,0.0125173149992
0.0137229505625,0.0137270272391,0.0137219000947,0.903932189622,0.0137227276315,0.0137247457779,0.0137239840988,0.0137244749736
0.0133832234578,0.0133832045962,0.0133823771786,0.906315559958,0.0133823651072,0.0133830362009,0.0133855211206,0.0133847123805
0.0134992089309,0.0135049255152,0.0134989644899,0.905490987926,0.0134998286832,0.0135030253219,0.0134992536383,0.0135038054945
0.0133890828969,0.0133892718683,0.0133896661725,0.906273721373,0.0133878662009,0.0133895277696,0.0133893923592,0.0133914713593
0.0137266807459,0.0137284808431,0.0137262369512,0.903899569817,0.0137263208894,0.0137292428558,0.0137255952624,0.0137378726356
0.0135516035825,0.0135530527043,0.0135509630826,0.905131242271,0.0135503124885,0.0135524994031,0.013557911442,0.0135524150263
0.013783794234,0.013786478108,0.0137824838204,0.90351164743,0.013782261445,0.0137835022846,0.0137866843459,0.0137831483323
0.0138374915971,0.0138387580155,0.0138385316988,0.903126382813,0.013837413601,0.0138387543896,0.0138416418658,0.0138410260194
0.0120512417309,0.0120496523855,0.0120503178763,0.915644046752,0.012051510016,0.0120507290071,0.012049585743,0.0120529164894
0.0137810691348,0.0137851876911,0.0137800359271,0.903525232106,0.0137808583805,0.013782898735,0.0137821111952,0.0137826068299
